Species,bill_length,wing_length,tarsus_length
White-winged Scoter,40,26.5,49
Surf Scoter,37,16,39
Surf Scoter,39,22,48
Surf Scoter,42,24,38
Surf Scoter,40,22.5,40
Surf Scoter,43,21,51
Surf Scoter,45,22,45
Surf Scoter,40,23,45
Surf Scoter,38,24,52
Surf Scoter,39,24,46
White-winged Scoter,44,27,49
Surf Scoter,41,22,38
Surf Scoter,41,23,47
Surf Scoter,38,22,44
Surf Scoter,41,25,48
Surf Scoter,36,25,36
Surf Scoter,34,23,47
White-winged Scoter,35,25,54
White-winged Scoter,50,26,48
White-winged Scoter,40,20,50
White-winged Scoter,40,27,49
